start	end	text
0	7680	Hello. Hello. Yeah. Who is this? Talking with Shiva Kumar. Yes. Who is this? Yeah. Hi. This is Shriya calling
7680	12960	on behalf of Infosys BPM. Yes. I have to tell you. Actually, your profile got screened
12960	18880	for the technical round and you have a telephonic round on this upcoming 14th of January. 14. Okay.
18880	26000	Yeah. So it will take at least I think 5 to 10 minutes. Yeah. And if you will clear that one
26000	30480	round, then they are going to be the virtual round. For that, the information will be shared
30480	35040	with you within two to three days for the virtual round. Yeah. So I am just giving you the information
35040	41680	that is available on this upcoming 14th of January between 10 a.m. to 5 p.m. Okay. I know the
41680	49600	Jabru. Inform it. Yeah. Inform it. Yeah. So you are from this testing field or developer field?
50560	56960	Developer. No. Because we need only developer candidates. Yeah. Okay. Okay. So only this thing,
56960	59600	I just have to share with you. Thank you so much. Yeah.
